STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
275,PL000000000303,,慈因,39.924339,116.354578,中國-北京市-市轄區-西城區,DILA,master,,
276,PL000000000304,,翊教寺,39.931715,116.359103,中國-北京市-市轄區-西城區,DILA,master,,
277,PL000000000305,,大千佛寺,39.949381,116.373333,中國-北京市-市轄區-西城區,DILA,master,,
278,PL000000000306,,大佛堂,39.918022,116.388129,中國-北京市-市轄區-東城區,DILA,master,,
279,PL000000000307,,七塔寺,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
280,PL000000000308,,大洪福寺,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
281,PL000000000309,,觀音獅子吼道場,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
282,PL000000000310,,仁王寺,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
283,PL000000000311,,番經廠,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
284,PL000000000312,,黑塔寺,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
285,PL000000000313,,淨土院,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
286,PL000000000314,,世剎海,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
287,PL000000000315,,普同塔,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
288,PL000000000316,,普慶蘭若,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
289,PL000000000317,,燕都,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
290,PL000000000318,,大興,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
291,PL000000000319,,北京,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
292,PL000000000320,,宛平,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
293,PL000000000321,,順天府,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
294,PL000000000322,,大興,39.9306,116.3779,中國-北京市-市轄區-西城區,DILA,master,,
