ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/an_lanh_hoang_thac","Ấn Lãnh Hoằng Thạc"
"ex:monk/an_long_thien_quoi","Ấn Long Thiện Quới"
"ex:monk/an_luan_hoang_hoa","Ấn Luân Hoằng Hóa"
"ex:monk/an_muc_hoang_cam","Ấn Mục Hoằng Cam"
"ex:monk/an_ngan_tin_thanh","Ấn Ngân Tín Thành"
"ex:monk/an_nghiem_pho_thoai","Ấn Nghiêm Phổ Thoại"
"ex:monk/an_ngoc_huyen_chon","Ấn Chiếu Đương Niệm"
"ex:monk/an_ngoc_huyen_chon","Ấn Ngọc Huyền Chơn"
"ex:monk/an_ngu_quang_loi","Ấn Ngữ Quảng Lợi"
"ex:monk/an_nhat_hoang_tin","Ấn Nhật Hoằng Tín"
"ex:monk/an_nhu_hue_huong","Ấn Như Huệ Hương"
"ex:monk/an_phuoc_chi_thanh","Ấn Phước Chí Thành"
"ex:monk/an_phuoc_dien_huu","An Phước Diên Hưu"
"ex:monk/an_phuong_hue_dieu","Ấn Phương Huệ Diệu"
"ex:monk/an_quoc_hoang_thao","An Quốc Hoằng Thao"
"ex:monk/an_quoc_huyen_dinh","An Quốc Huyền Đĩnh"
"ex:monk/an_quoc_tue_cau","An Quốc Tuệ Cầu"
"ex:monk/an_quoc_tung_quy","An Quốc Tùng Quý"
"ex:monk/an_tam_dieu_nghia","Ấn Tâm Diệu Nghĩa"
"ex:monk/an_tam_dieu_nghia","Ấn Tâm Diệu Nghĩa"
"ex:monk/an_tham_hoang_phuc","Ấn Tham Hoằng Phúc"
"ex:monk/an_thanh_chi_thanh","Ấn Thanh Chí Thành"
"ex:monk/an_thanh_huyen_an","Ấn Thành Huyền An"
"ex:monk/an_thi_hoang_quan","Ấn Thị Hoằng Quán"
"ex:monk/an_thien_hue_nhan","Ấn Thiên Huệ Nhãn"
"ex:monk/an_thuc_chanh_truc","Ấn Thức Chánh Trực"
"ex:monk/an_tin_hue_nhat","Ấn Tín Huệ Nhật"
"ex:monk/an_tinh_hoang_thanh","Ấn Tịnh Hoằng Thanh"
"ex:monk/an_tinh_ngan_sam","Ẩn Tỉnh Ngạn Sầm"
"ex:monk/an_to_phuoc_minh","Ấn Tổ Phước Minh"
"ex:monk/an_tri_minh_giac","Ấn Trí Minh Giác"
"ex:monk/an_triem_tu_minh","Thích Ấn Lực"
"ex:monk/an_triem_tu_minh","Ấn Triêm Từ Minh"
"ex:monk/an_tung_hoang_niem","Ấn Tụng Hoằng Niệm"
"ex:monk/an_vo_chanh_giac","Ấn Võ Chánh Giác"
